# Chunk-averaged data for fix ave_densityy and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
10000 100 20999.999999999996
  27 0.265 205.848 0.115692
  28 0.275 209.602 0.117802
  29 0.285 207.812 0.116796
  30 0.295 212.794 0.119596
  31 0.305 208.504 0.117184
  32 0.315 209.66 0.117834
  33 0.325 210.054 0.118056
  34 0.335 209.034 0.117482
  35 0.345 212.22 0.119273
  36 0.355 206.9 0.116283
  37 0.365 218.1 0.122578
  38 0.375 206.014 0.115785
  39 0.385 210.868 0.118513
  40 0.395 214.048 0.1203
  41 0.405 210.758 0.118451
  42 0.415 203.666 0.114465
  43 0.425 207.464 0.1166
  44 0.435 209.028 0.117479
  45 0.445 208.498 0.117181
  46 0.455 205.42 0.115451
  47 0.465 209.898 0.117968
  48 0.475 207.824 0.116802
  49 0.485 202.012 0.113536
  50 0.495 212.794 0.119596
  51 0.505 210.646 0.118388
  52 0.515 205.076 0.115258
  53 0.525 213.386 0.119928
  54 0.535 205.234 0.115347
  55 0.545 205.86 0.115698
  56 0.555 211.54 0.118891
  57 0.565 205.422 0.115452
  58 0.575 208.494 0.117179
  59 0.585 211.248 0.118727
  60 0.595 205.83 0.115682
  61 0.605 209.302 0.117633
  62 0.615 210.414 0.118258
  63 0.625 208.938 0.117428
  64 0.635 210.292 0.118189
  65 0.645 210.402 0.118251
  66 0.655 208.746 0.11732
  67 0.665 214.02 0.120285
  68 0.675 219.052 0.123113
  69 0.685 207.128 0.116411
  70 0.695 211.234 0.118719
  71 0.705 221.896 0.124711
  72 0.715 206.102 0.115834
  73 0.725 205.788 0.115658
  74 0.735 219.31 0.123258
  75 0.745 204.454 0.114908
  76 0.755 201.556 0.113279
  77 0.765 218.258 0.122666
  78 0.775 210.53 0.118323
  79 0.785 203.048 0.114118
  80 0.795 216.596 0.121732
  81 0.805 209.456 0.117719
  82 0.815 207.83 0.116806
  83 0.825 222.062 0.124804
  84 0.835 207.86 0.116822
  85 0.845 214.722 0.120679
  86 0.855 220.004 0.123648
  87 0.865 207.714 0.11674
  88 0.875 212.38 0.119363
  89 0.885 217.92 0.122476
  90 0.895 206.358 0.115978
  91 0.905 216.486 0.121671
  92 0.915 211.71 0.118986
  93 0.925 212.934 0.119674
  94 0.935 209.048 0.11749
  95 0.945 213.38 0.119925
  96 0.955 216.178 0.121497
  97 0.965 206.902 0.116284
  98 0.975 209.332 0.11765
  99 0.985 210.504 0.118308
  100 0.995 207.414 0.116572
70000 100 21000.000000000007
  1 0.005 205.446 0.115466
  2 0.015 205.164 0.115307
  3 0.025 203.914 0.114605
  4 0.035 214.552 0.120584
  5 0.045 210.394 0.118247
  6 0.055 209.58 0.117789
  7 0.065 216.318 0.121576
  8 0.075 209.666 0.117838
  9 0.085 211.172 0.118684
  10 0.095 212.652 0.119516
  11 0.105 207.332 0.116526
  12 0.115 215.83 0.121302
  13 0.125 208.998 0.117462
  14 0.135 204.376 0.114864
  15 0.145 213.066 0.119748
  16 0.155 218.25 0.122662
  17 0.165 204.508 0.114939
  18 0.175 212.936 0.119675
  19 0.185 214.338 0.120463
  20 0.195 208.458 0.117159
  21 0.205 205.786 0.115657
  22 0.215 210.46 0.118284
  23 0.225 209.266 0.117613
  24 0.235 207.464 0.1166
  25 0.245 207.994 0.116898
  26 0.255 208.052 0.11693
  27 0.265 206.604 0.116117
  28 0.275 212.826 0.119614
  29 0.285 210.192 0.118133
  30 0.295 209.352 0.117661
  31 0.305 211.908 0.119098
  32 0.315 204.242 0.114789
  33 0.325 214.854 0.120753
  34 0.335 210.068 0.118063
  35 0.345 214.25 0.120414
  36 0.355 211.136 0.118664
  37 0.365 210.314 0.118202
  38 0.375 212.452 0.119403
  39 0.385 208.892 0.117402
  40 0.395 209.836 0.117933
  41 0.405 212.968 0.119693
  42 0.415 205.69 0.115603
  43 0.425 213.144 0.119792
  44 0.435 211.752 0.11901
  45 0.445 205.686 0.115601
  46 0.455 207.626 0.116691
  47 0.465 209.734 0.117876
  48 0.475 210.544 0.118331
  49 0.485 201.94 0.113495
  50 0.495 209.132 0.117537
  51 0.505 205.866 0.115702
  52 0.515 206.88 0.116272
  53 0.525 209.708 0.117861
  54 0.535 209.584 0.117791
  55 0.545 200.01 0.112411
  56 0.555 210.016 0.118034
  57 0.565 206.978 0.116327
  58 0.575 203.516 0.114381
  59 0.585 221.722 0.124613
  60 0.595 205.27 0.115367
  61 0.605 211.472 0.118853
  62 0.615 211.598 0.118923
  63 0.625 208.508 0.117187
  64 0.635 205.636 0.115573
  65 0.645 212.836 0.119619
  66 0.655 210.358 0.118226
  67 0.665 211.412 0.118819
  68 0.675 205.852 0.115694
  69 0.685 207.61 0.116682
  70 0.695 218.226 0.122648
  71 0.705 212.706 0.119546
  72 0.715 216.906 0.121907
  73 0.725 219.81 0.123539
  74 0.735 215.526 0.121131
  75 0.745 213.224 0.119837
  76 0.755 216.712 0.121798
  77 0.765 221.21 0.124326
  78 0.775 213.076 0.119754
  79 0.785 214.174 0.120371
  80 0.795 225.24 0.12659
  81 0.805 209.03 0.11748
  82 0.815 209.314 0.11764
  83 0.825 212.89 0.119649
  84 0.835 212.404 0.119376
  85 0.845 210.742 0.118442
  86 0.855 210.22 0.118149
  87 0.865 208.216 0.117023
  88 0.875 213.774 0.120146
  89 0.885 207.184 0.116443
  90 0.895 210.126 0.118096
  91 0.905 205.274 0.115369
  92 0.915 208.038 0.116923
  93 0.925 206.278 0.115933
  94 0.935 203.32 0.114271
  95 0.945 209.144 0.117544
  96 0.955 198.2 0.111393
  97 0.965 205.062 0.11525
  98 0.975 204.598 0.114989
  99 0.985 206.15 0.115861
  100 0.995 207.28 0.116497
80000 100 20999.999999999996
  1 0.005 211.81 0.119042
  2 0.015 209.942 0.117993
  3 0.025 209.912 0.117976
  4 0.035 210.744 0.118443
  5 0.045 211.554 0.118899
  6 0.055 213.072 0.119752
  7 0.065 205 0.115215
  8 0.075 213.044 0.119736
  9 0.085 208.768 0.117333
  10 0.095 209.042 0.117487
  11 0.105 211.768 0.119019
  12 0.115 212.436 0.119394
  13 0.125 208.854 0.117381
  14 0.135 211.292 0.118751
  15 0.145 204.9 0.115159
  16 0.155 211.808 0.119041
  17 0.165 206.822 0.116239
  18 0.175 211.634 0.118944
  19 0.185 210.528 0.118322
  20 0.195 213.96 0.120251
  21 0.205 205.278 0.115371
  22 0.215 211.3 0.118756
  23 0.225 213.75 0.120133
  24 0.235 207.464 0.1166
  25 0.245 207.924 0.116858
  26 0.255 208.588 0.117232
  27 0.265 210.15 0.11811
  28 0.275 208.736 0.117315
  29 0.285 216.184 0.121501
  30 0.295 208.646 0.117264
  31 0.305 210.85 0.118503
  32 0.315 211.938 0.119114
  33 0.325 209.166 0.117556
  34 0.335 205.452 0.115469
  35 0.345 207.602 0.116677
  36 0.355 214.048 0.1203
  37 0.365 210.13 0.118098
  38 0.375 202.09 0.11358
  39 0.385 207.166 0.116432
  40 0.395 205.898 0.11572
  41 0.405 204.9 0.115159
  42 0.415 204.59 0.114985
  43 0.425 203.408 0.11432
  44 0.435 201.638 0.113326
  45 0.445 205.064 0.115251
  46 0.455 201.834 0.113436
  47 0.465 210.666 0.1184
  48 0.475 201.502 0.113249
  49 0.485 202.566 0.113847
  50 0.495 205.646 0.115578
  51 0.505 204.684 0.115037
  52 0.515 206.782 0.116217
  53 0.525 203.612 0.114435
  54 0.535 202.696 0.11392
  55 0.545 210.884 0.118522
  56 0.555 208.768 0.117333
  57 0.565 198.05 0.111309
  58 0.575 219.896 0.123587
  59 0.585 207.682 0.116722
  60 0.595 207.456 0.116595
  61 0.605 221.728 0.124617
  62 0.615 218.118 0.122588
  63 0.625 205.988 0.11577
