# Chunk-averaged data for fix ave_stressz and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount c_stress[3]
10000 100 21000
  99 0.985 214.962 0.0547522
  100 0.995 208.604 0.0744848
80000 100 20999.999999999996
  1 0.005 207.708 0.142275
  2 0.015 209.246 0.0895394
  3 0.025 202.924 0.0394465
  4 0.035 209.428 0.100812
  5 0.045 206.06 0.0508317
  6 0.055 201.204 0.0783269
  7 0.065 205.78 0.0975642
  8 0.075 212.268 0.0735968
  9 0.085 193.826 0.063693
  10 0.095 206.98 -0.0164831
  11 0.105 208.402 0.133403
  12 0.115 195.622 0.0276683
  13 0.125 200.286 0.00691453
  14 0.135 204.922 0.100124
  15 0.145 198.174 0.107732
  16 0.155 204.18 -0.0153583
  17 0.165 205.264 0.111812
  18 0.175 202.528 0.0577696
  19 0.185 203.018 0.0662404
  20 0.195 208.842 0.0918263
  21 0.205 201.11 0.0444232
  22 0.215 200.962 0.0367969
  23 0.225 207.662 0.0982757
  24 0.235 210.912 0.0620176
  25 0.245 203.882 0.0988663
  26 0.255 210.458 0.0225416
  27 0.265 209.118 0.145901
  28 0.275 206.512 -0.0300332
  29 0.285 208.066 0.104506
  30 0.295 203.526 0.0652435
  31 0.305 212.18 0.0164319
  32 0.315 205.246 0.145566
  33 0.325 209.314 0.0960381
  34 0.335 207.886 -0.00914623
  35 0.345 204.148 0.0745907
  36 0.355 211.974 0.0463929
  37 0.365 210.432 0.0404434
  38 0.375 207.95 0.109243
  39 0.385 215.474 0.0291694
  40 0.395 210.854 0.0631125
  41 0.405 210.956 0.0110079
  42 0.415 219.536 0.100136
  43 0.425 213.322 0.0593701
  44 0.435 210.392 0.011519
  45 0.445 215.866 0.02596
  46 0.455 217.162 0.152703
  47 0.465 209.034 0.0474895
  48 0.475 215.02 -0.00722476
  49 0.485 207.978 0.107214
  50 0.495 213.548 0.117468
  51 0.505 209.564 0.0425719
  52 0.515 213.646 0.0246092
  53 0.525 216.978 0.139307
  54 0.535 216.852 0.0233249
  55 0.545 212.472 0.0859034
  56 0.555 217.2 0.0119961
  57 0.565 215.262 0.0932641
  58 0.575 207.726 0.0810257
  59 0.585 214.092 -0.0177839
  60 0.595 214.128 0.0700252
  61 0.605 209.272 0.162695
  62 0.615 208.366 0.0212228
  63 0.625 213.544 0.0395405
  64 0.635 212.398 0.0541224
  65 0.645 218.764 0.154819
  66 0.655 213.23 0.0166462
  67 0.665 215.208 0.0241201
  68 0.675 214.438 0.0835189
  69 0.685 211.94 0.0218964
  70 0.695 216.28 0.0937176
  71 0.705 212.864 -0.0164633
  72 0.715 217.254 0.000217466
  73 0.725 216.996 0.204374
  74 0.735 217.076 0.0228419
  75 0.745 211.65 -0.0784858
  76 0.755 214.72 0.0770402
  77 0.765 222.452 0.0971898
  78 0.775 210.906 0.00789704
  79 0.785 212.912 -0.0747363
  80 0.795 214.684 0.105298
  81 0.805 210.176 0.0610004
  82 0.815 210.094 0.100903
  83 0.825 205.96 -0.0648555
  84 0.835 208.944 0.0463487
  85 0.845 214.444 0.138523
  86 0.855 207.254 0.0871547
  87 0.865 213.074 -0.00304233
  88 0.875 204.62 0.0653373
  89 0.885 210.6 0.101377
  90 0.895 209.834 -0.0403813
  91 0.905 209.806 0.112258
  92 0.915 212.34 0.0636021
  93 0.925 212.208 0.0172604
  94 0.935 209.76 0.0873569
  95 0.945 213.3 0.0372781
  96 0.955 214.502 0.0497437
  97 0.965 207.048 0.0160659
  98 0.975 209.644 0.0963516
  99 0.985 210.978 0.00384395
